score_id,run_id,method,model,variant,benchmark,protocol,split,task_count,pass_count,pass_rate,plus_pass_count,plus_pass_rate,metric_name,metric_value,result_completeness,validity_status,evidence_status,source_file,notes
1fb6d3983d7baf73,llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340,LLM-Pruner,Qwen/Qwen2.5-Coder-1.5B-Instruct,official_keep80,humaneval,r4_half,eval,82,2,0.024390243902439025,,,pass_rate,0.024390243902439025,complete,valid,present,results/evidence/r4_half/llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340/eval_v3/humaneval/score/score_summary.json,variant inferred from score path
3261e62d39d4dc04,llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340,LLM-Pruner,Qwen/Qwen2.5-Coder-1.5B-Instruct,official_keep80,livecodebench,r4_half,eval,200,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340/eval_v3/livecodebench/score/score_summary.json,variant inferred from score path
0a1a971fd925d528,llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340,LLM-Pruner,Qwen/Qwen2.5-Coder-1.5B-Instruct,official_keep80,mbpp,r4_half,eval,224,1,0.004464285714285714,,,pass_rate,0.004464285714285714,complete,valid,present,results/evidence/r4_half/llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340/eval_v3/mbpp_evalplus/score/score_summary.json,variant inferred from score path
d69261279650efbf,pilot_keep80_official_all_20260727_174732,Flab-Pruner;LLM-Pruner;SliceGPT,unknown,official_keep80,humaneval,r4_half,eval,5,0,0.0,,,pass_rate,0.0,pilot,valid,present,results/evidence/r4_half/pilot_keep80_official_all_20260727_174732/flabpruner_eval5/humaneval/score/score_summary.json,variant inferred from score path
cfd22fc67bc0427f,pilot_keep80_official_all_20260727_174732,Flab-Pruner;LLM-Pruner;SliceGPT,unknown,official_keep80,livecodebench,r4_half,eval,5,0,0.0,,,pass_rate,0.0,pilot,valid,present,results/evidence/r4_half/pilot_keep80_official_all_20260727_174732/flabpruner_eval5/livecodebench/score/score_summary.json,variant inferred from score path
7fb44f713853ba65,pilot_keep80_official_all_20260727_174732,Flab-Pruner;LLM-Pruner;SliceGPT,unknown,official_keep80,mbpp,r4_half,eval,5,0,0.0,,,pass_rate,0.0,pilot,valid,present,results/evidence/r4_half/pilot_keep80_official_all_20260727_174732/flabpruner_eval5/mbpp_evalplus/score/score_summary.json,variant inferred from score path
14778fc0d8901810,pilot_keep80_official_all_20260727_174732,Flab-Pruner;LLM-Pruner;SliceGPT,unknown,official_keep80,humaneval,r4_half,eval,5,2,0.4,,,pass_rate,0.4,pilot,valid,present,results/evidence/r4_half/pilot_keep80_official_all_20260727_174732/llmpruner_eval5/humaneval/score/score_summary.json,variant inferred from score path
e459b2d624cb7ffd,pilot_keep80_official_all_20260727_174732,Flab-Pruner;LLM-Pruner;SliceGPT,unknown,official_keep80,livecodebench,r4_half,eval,5,1,0.2,,,pass_rate,0.2,pilot,valid,present,results/evidence/r4_half/pilot_keep80_official_all_20260727_174732/llmpruner_eval5/livecodebench/score/score_summary.json,variant inferred from score path
f9aa98cda575d167,pilot_keep80_official_all_20260727_174732,Flab-Pruner;LLM-Pruner;SliceGPT,unknown,official_keep80,mbpp,r4_half,eval,5,2,0.4,,,pass_rate,0.4,pilot,valid,present,results/evidence/r4_half/pilot_keep80_official_all_20260727_174732/llmpruner_eval5/mbpp_evalplus/score/score_summary.json,variant inferred from score path
78d02f9c51210231,pilot_keep80_official_all_20260727_174732,Flab-Pruner;LLM-Pruner;SliceGPT,unknown,official_keep80,humaneval,r4_half,eval,5,0,0.0,,,pass_rate,0.0,pilot,valid,present,results/evidence/r4_half/pilot_keep80_official_all_20260727_174732/slicegpt_eval5/humaneval/score/score_summary.json,variant inferred from score path
20404e3d6d28fbd3,pilot_keep80_official_all_20260727_174732,Flab-Pruner;LLM-Pruner;SliceGPT,unknown,official_keep80,livecodebench,r4_half,eval,5,0,0.0,,,pass_rate,0.0,pilot,valid,present,results/evidence/r4_half/pilot_keep80_official_all_20260727_174732/slicegpt_eval5/livecodebench/score/score_summary.json,variant inferred from score path
e91bcfefd06e778f,pilot_keep80_official_all_20260727_174732,Flab-Pruner;LLM-Pruner;SliceGPT,unknown,official_keep80,mbpp,r4_half,eval,5,0,0.0,,,pass_rate,0.0,pilot,valid,present,results/evidence/r4_half/pilot_keep80_official_all_20260727_174732/slicegpt_eval5/mbpp_evalplus/score/score_summary.json,variant inferred from score path
e85a00160231cfd3,qwen25c15b_official_evalhalf_20260729_172949,baseline,Qwen/Qwen2.5-Coder-1.5B-Instruct,baseline,humaneval,r4_half,eval,82,18,0.21951219512195122,,,pass_rate,0.21951219512195122,complete,valid,present,results/evidence/r4_half/qwen25c15b_official_evalhalf_20260729_172949/humaneval/score/score_summary.json,variant inferred from score path
